period,comparator,estimate,lower_95,upper_95,observations,block_length,samples
all_oos,Sample,-0.000903413087156,-0.0104805045459,0.00602919934439,1526,21,2000
all_oos,Ledoit-Wolf,0.0051763283035,-0.00876833250942,0.0163076225152,1526,21,2000
development,Sample,0.0028272350652,-0.00406798284051,0.0085299775124,1110,21,2000
development,Ledoit-Wolf,0.0120089344495,0.00124008841653,0.0214954080358,1110,21,2000
historical_test,Sample,-0.0108577867629,-0.0403096416208,0.0066649563025,416,21,2000
historical_test,Ledoit-Wolf,-0.0130549044417,-0.0576864745605,0.0163533772404,416,21,2000
