strategy,observations,cagr,annualized_volatility,annualized_mean_over_volatility_rf0,max_drawdown,terminal_wealth,year,first_date,last_date,compounded_period_return
Equal weight,106,0.171309738729,0.0873805854775,1.85349113038,-0.0453824066185,1.06877364974,2020,2020-08-03,2020-12-31,0.0687736497375
Inverse volatility,106,0.060640975296,0.0375506881573,1.58662729301,-0.0184631352221,1.02507339607,2020,2020-08-03,2020-12-31,0.0250733960691
Sample GMV,106,0.0185158593417,0.0240553310498,0.774631598681,-0.0100952006132,1.00774704454,2020,2020-08-03,2020-12-31,0.00774704454098
Ledoit-Wolf GMV,106,0.0185483910634,0.023508718999,0.793452657529,-0.00992599180737,1.00776058371,2020,2020-08-03,2020-12-31,0.00776058371257
PCA GMV,106,0.0223212656362,0.0224792536888,0.993227467569,-0.0091328091388,1.00932909641,2020,2020-08-03,2020-12-31,0.0093290964072
AOM buy & hold,106,0.159924207249,0.0715604142171,2.10924021802,-0.0382331907929,1.06439137027,2020,2020-08-03,2020-12-31,0.06439137027
Equal weight,252,0.0906564984568,0.0694693854349,1.28402523704,-0.0404708101876,1.09065649846,2021,2021-01-04,2021-12-31,0.0906564984568
Inverse volatility,252,0.0223471574722,0.0342174680069,0.662983046332,-0.0251197931595,1.02234715747,2021,2021-01-04,2021-12-31,0.0223471574722
Sample GMV,252,-0.0038587341312,0.0243728026503,-0.146482186258,-0.0230236083695,0.996141265869,2021,2021-01-04,2021-12-31,-0.0038587341312
Ledoit-Wolf GMV,252,-0.00519648773166,0.0243816605618,-0.201535876708,-0.0233712782116,0.994803512268,2021,2021-01-04,2021-12-31,-0.00519648773166
PCA GMV,252,-0.00320035170155,0.0254662729705,-0.113183194418,-0.0227698055904,0.996799648298,2021,2021-01-04,2021-12-31,-0.00320035170155
AOM buy & hold,252,0.0693354011047,0.0587651909844,1.1702302397,-0.0277926343871,1.0693354011,2021,2021-01-04,2021-12-31,0.0693354011047
Equal weight,251,-0.164644709003,0.13292005306,-1.28681879217,-0.219744903501,0.835951848623,2022,2022-01-03,2022-12-30,-0.164048151377
Inverse volatility,251,-0.114249113918,0.0783420104392,-1.50924199682,-0.152782131391,0.886177412893,2022,2022-01-03,2022-12-30,-0.113822587107
Sample GMV,251,-0.0893015525737,0.0563771207114,-1.63087307401,-0.117135877491,0.911036565233,2022,2022-01-03,2022-12-30,-0.0889634347668
Ledoit-Wolf GMV,251,-0.0895996271884,0.0563931804327,-1.63619524234,-0.117420158697,0.910739563034,2022,2022-01-03,2022-12-30,-0.0892604369665
PCA GMV,251,-0.0944043249409,0.0574539890747,-1.69700124353,-0.121903626661,0.905952098327,2022,2022-01-03,2022-12-30,-0.0940479016727
AOM buy & hold,251,-0.145888242357,0.114873121835,-1.31518909702,-0.195322773444,0.854646399676,2022,2022-01-03,2022-12-30,-0.145353600324
Equal weight,250,0.149569981042,0.0846588098306,1.68902976649,-0.078916529586,1.14829896837,2023,2023-01-03,2023-12-29,0.14829896837
Inverse volatility,250,0.101650735098,0.0580400285247,1.69717426214,-0.0499582248632,1.10080462762,2023,2023-01-03,2023-12-29,0.100804627623
Sample GMV,250,0.0726896989938,0.0469211099652,1.5190227366,-0.0291822748765,1.07209248584,2023,2023-01-03,2023-12-29,0.0720924858423
Ledoit-Wolf GMV,250,0.0724626213665,0.0469463377863,1.51372059029,-0.0292249641903,1.07186733565,2023,2023-01-03,2023-12-29,0.0718673356499
PCA GMV,250,0.0725640922596,0.0465437810293,1.52844425272,-0.0288209193459,1.0719679453,2023,2023-01-03,2023-12-29,0.0719679453048
AOM buy & hold,250,0.124866167305,0.0734178149665,1.63956947658,-0.0685246505725,1.12381621059,2023,2023-01-03,2023-12-29,0.123816210588
Equal weight,252,0.0907397861279,0.0759653474448,1.18144787062,-0.0340037461351,1.09073978613,2024,2024-01-02,2024-12-31,0.0907397861279
Inverse volatility,252,0.0672596415223,0.050486084617,1.31468222054,-0.022489931985,1.06725964152,2024,2024-01-02,2024-12-31,0.0672596415223
Sample GMV,252,0.0466545365221,0.0348092715379,1.32742761182,-0.0168184018441,1.04665453652,2024,2024-01-02,2024-12-31,0.0466545365221
Ledoit-Wolf GMV,252,0.0477300240973,0.0348426889904,1.35566918281,-0.0168726982646,1.0477300241,2024,2024-01-02,2024-12-31,0.0477300240973
PCA GMV,252,0.0458408667647,0.0346188108997,1.31207140182,-0.0161666350858,1.04584086676,2024,2024-01-02,2024-12-31,0.0458408667647
AOM buy & hold,252,0.0794346542092,0.0629504458915,1.24580744707,-0.0326132952509,1.07943465421,2024,2024-01-02,2024-12-31,0.0794346542092
Equal weight,250,0.171268345987,0.0912262450189,1.77868825299,-0.0780455778463,1.16979972341,2025,2025-01-02,2025-12-31,0.169799723408
Inverse volatility,250,0.108713627983,0.0523227672492,1.99878563266,-0.0409166901172,1.10780590656,2025,2025-01-02,2025-12-31,0.107805906556
Sample GMV,250,0.0640308717654,0.0314056187885,1.99209538052,-0.0205102322392,1.0635068862,2025,2025-01-02,2025-12-31,0.0635068861977
Ledoit-Wolf GMV,250,0.0659433737455,0.0315555132442,2.03970432415,-0.0207065386467,1.06540326173,2025,2025-01-02,2025-12-31,0.0654032617293
PCA GMV,250,0.0644893171216,0.0310505206717,2.0283982593,-0.0198519120347,1.06396146835,2025,2025-01-02,2025-12-31,0.0639614683504
AOM buy & hold,250,0.133962986855,0.0803727132424,1.60451937089,-0.0654254516627,1.13283212096,2025,2025-01-02,2025-12-31,0.132832120961
Equal weight,166,0.119972247548,0.100852653054,1.17385592787,-0.0675044469813,1.0774926267,2026,2026-01-02,2026-08-31,0.0774926266978
Inverse volatility,166,0.0547374876693,0.0533637459645,1.02528558402,-0.0381084560979,1.03572844189,2026,2026-01-02,2026-08-31,0.0357284418886
Sample GMV,166,0.0182019003033,0.0329711541898,0.563500787533,-0.024670381408,1.0119532006,2026,2026-01-02,2026-08-31,0.0119532006046
Ledoit-Wolf GMV,166,0.0184432765441,0.0330055529251,0.570129930928,-0.0246492491763,1.01211122023,2026,2026-01-02,2026-08-31,0.012111220229
PCA GMV,166,0.0161145793157,0.0320524163097,0.51469833273,-0.0224329230197,1.01058617911,2026,2026-01-02,2026-08-31,0.0105861791128
AOM buy & hold,166,0.0884078257684,0.0781151759765,1.12349355826,-0.0510576871964,1.05739139844,2026,2026-01-02,2026-08-31,0.0573913984361
