period,comparator,estimate,lower_95,upper_95,observations,block_length,samples
all_oos,Sample,-0.00122803851547,-0.017828086349,0.00816772134563,1526,21,2000
all_oos,Ledoit-Wolf,0.00863717884997,-0.0147862043221,0.0230486291739,1526,21,2000
development,Sample,0.00361579453034,-0.000850332804197,0.00724195168391,1110,21,2000
development,Ledoit-Wolf,0.0137142009489,0.00531125204146,0.0210067015845,1110,21,2000
historical_test,Sample,-0.0141526891906,-0.0712563420038,0.016478244313,416,21,2000
historical_test,Ledoit-Wolf,-0.00490968300063,-0.0868967542143,0.0403718058022,416,21,2000
