strategy,observations,cagr,annualized_volatility,annualized_mean_over_volatility_rf0,max_drawdown,terminal_wealth,gross_annualized_volatility,annual_traded_notional,annual_cost_fraction_sum,period,first_date,last_date,daily_return_correlation_with_reference,variant,lookback,n_components,weight_cap,cost_bps,pca_space
Inverse volatility,416,0.147658555947,0.130597816563,1.11987987281,-0.141488004615,1.25527368147,0.130595399122,0.353791602993,0.000176895801497,historical_test,2025-01-02,2026-08-31,0.853837117076,primary,504,3,0.3,5,covariance
Sample GMV,416,0.106152453202,0.120391024365,0.898279791791,-0.113793542276,1.18121649251,0.120381773805,0.804562000969,0.000402281000485,historical_test,2025-01-02,2026-08-31,0.629122101754,primary,504,3,0.3,5,covariance
Ledoit-Wolf GMV,416,0.109543905174,0.119914048478,0.926914941953,-0.113731417443,1.18720096515,0.119905393788,0.862359357386,0.000431179678693,historical_test,2025-01-02,2026-08-31,0.634859375384,primary,504,3,0.3,5,covariance
PCA GMV,416,0.109551328943,0.119168427806,0.932031531762,-0.115535568937,1.18721407803,0.119159661598,0.797503447627,0.000398751723814,historical_test,2025-01-02,2026-08-31,0.647227744005,primary,504,3,0.3,5,covariance
SPY buy & hold,416,0.189214251123,0.173152496415,1.08678108891,-0.187552262606,1.33118649644,,,,historical_test,2025-01-02,2026-08-31,1,primary,504,3,0.3,5,covariance
Equal weight,1527,0.148159321545,0.1455620744,1.02216137256,-0.192631314576,2.3098538042,0.145563508959,0.501073533027,0.000250536766513,all_oos,2020-08-03,2026-08-31,0.934265824655,rank_1,504,1,0.3,5,covariance
Inverse volatility,1527,0.134395996118,0.140823844985,0.96606731495,-0.201004664611,2.14707844809,0.140825157867,0.497169913249,0.000248584956624,all_oos,2020-08-03,2026-08-31,0.923228739182,rank_1,504,1,0.3,5,covariance
Sample GMV,1527,0.0855685207931,0.125842336563,0.715500033563,-0.1781674756,1.64462126755,0.125843404219,0.867768714974,0.000433884357487,all_oos,2020-08-03,2026-08-31,0.789964726881,rank_1,504,1,0.3,5,covariance
Ledoit-Wolf GMV,1527,0.0876501029518,0.125478288759,0.73248265209,-0.176340530755,1.66382332466,0.125479243019,0.850733097562,0.000425366548781,all_oos,2020-08-03,2026-08-31,0.792365866901,rank_1,504,1,0.3,5,covariance
PCA GMV,1527,0.0813227976218,0.128088102295,0.674581407246,-0.17832692637,1.6060287242,0.128085330142,0.801733152128,0.000400866576064,all_oos,2020-08-03,2026-08-31,0.722582365503,rank_1,504,1,0.3,5,covariance
SPY buy & hold,1527,0.165693162362,0.16740899134,0.999620169066,-0.244963938609,2.53202997273,,,,all_oos,2020-08-03,2026-08-31,1,rank_1,504,1,0.3,5,covariance
Equal weight,1111,0.143685864553,0.14954044244,0.972810173702,-0.192631314576,1.80741857985,0.149543073559,0.558629830918,0.000279314915459,development,2020-08-03,2024-12-31,0.952025455339,rank_1,504,1,0.3,5,covariance
Inverse volatility,1111,0.129469530727,0.144522385302,0.914895289513,-0.201004664611,1.71044647856,0.144524971135,0.550856121229,0.000275428060615,development,2020-08-03,2024-12-31,0.950428732044,rank_1,504,1,0.3,5,covariance
Sample GMV,1111,0.0779600745991,0.127873920748,0.65111904617,-0.1781674756,1.39231146701,0.127878630661,0.891435675393,0.000445717837697,development,2020-08-03,2024-12-31,0.850482867991,rank_1,504,1,0.3,5,covariance
Ledoit-Wolf GMV,1111,0.0795638707647,0.127548909899,0.664111500355,-0.176340530755,1.4014672945,0.127553240948,0.846379790553,0.000423189895276,development,2020-08-03,2024-12-31,0.851606182958,rank_1,504,1,0.3,5,covariance
PCA GMV,1111,0.07398616419,0.128485311683,0.619862329268,-0.17832692637,1.3698242308,0.128486601726,0.786731493394,0.000393365746697,development,2020-08-03,2024-12-31,0.808582060574,rank_1,504,1,0.3,5,covariance
SPY buy & hold,1111,0.157006193339,0.165284083068,0.965274912526,-0.244963938609,1.90208507936,,,,development,2020-08-03,2024-12-31,1,rank_1,504,1,0.3,5,covariance
Equal weight,416,0.160192415846,0.13453170074,1.17174698058,-0.150040682341,1.27798498364,0.134529613362,0.347359477841,0.000173679738921,historical_test,2025-01-02,2026-08-31,0.891888024177,rank_1,504,1,0.3,5,covariance
Inverse volatility,416,0.147658555947,0.130597816563,1.11987987281,-0.141488004615,1.25527368147,0.130595399122,0.353791602993,0.000176895801497,historical_test,2025-01-02,2026-08-31,0.853837117076,rank_1,504,1,0.3,5,covariance
Sample GMV,416,0.106152453202,0.120391024365,0.898279791791,-0.113793542276,1.18121649251,0.120381773805,0.804562000969,0.000402281000485,historical_test,2025-01-02,2026-08-31,0.629122101754,rank_1,504,1,0.3,5,covariance
Ledoit-Wolf GMV,416,0.109543905174,0.119914048478,0.926914941953,-0.113731417443,1.18720096515,0.119905393788,0.862359357386,0.000431179678693,historical_test,2025-01-02,2026-08-31,0.634859375384,rank_1,504,1,0.3,5,covariance
PCA GMV,416,0.10116314089,0.127168096966,0.821484916322,-0.103299502256,1.17243416205,0.127154328351,0.841797678218,0.000420898839109,historical_test,2025-01-02,2026-08-31,0.501552534162,rank_1,504,1,0.3,5,covariance
SPY buy & hold,416,0.189214251123,0.173152496415,1.08678108891,-0.187552262606,1.33118649644,,,,historical_test,2025-01-02,2026-08-31,1,rank_1,504,1,0.3,5,covariance
Equal weight,1527,0.148159321545,0.1455620744,1.02216137256,-0.192631314576,2.3098538042,0.145563508959,0.501073533027,0.000250536766513,all_oos,2020-08-03,2026-08-31,0.934265824655,rank_5,504,5,0.3,5,covariance
Inverse volatility,1527,0.134395996118,0.140823844985,0.96606731495,-0.201004664611,2.14707844809,0.140825157867,0.497169913249,0.000248584956624,all_oos,2020-08-03,2026-08-31,0.923228739182,rank_5,504,5,0.3,5,covariance
Sample GMV,1527,0.0855685207931,0.125842336563,0.715500033563,-0.1781674756,1.64462126755,0.125843404219,0.867768714974,0.000433884357487,all_oos,2020-08-03,2026-08-31,0.789964726881,rank_5,504,5,0.3,5,covariance
Ledoit-Wolf GMV,1527,0.0876501029518,0.125478288759,0.73248265209,-0.176340530755,1.66382332466,0.125479243019,0.850733097562,0.000425366548781,all_oos,2020-08-03,2026-08-31,0.792365866901,rank_5,504,5,0.3,5,covariance
PCA GMV,1527,0.0874509067944,0.126880225838,0.724338630278,-0.182062054795,1.66197773033,0.126881198324,1.07277980358,0.000536389901788,all_oos,2020-08-03,2026-08-31,0.800975301188,rank_5,504,5,0.3,5,covariance
SPY buy & hold,1527,0.165693162362,0.16740899134,0.999620169066,-0.244963938609,2.53202997273,,,,all_oos,2020-08-03,2026-08-31,1,rank_5,504,5,0.3,5,covariance
Equal weight,1111,0.143685864553,0.14954044244,0.972810173702,-0.192631314576,1.80741857985,0.149543073559,0.558629830918,0.000279314915459,development,2020-08-03,2024-12-31,0.952025455339,rank_5,504,5,0.3,5,covariance
Inverse volatility,1111,0.129469530727,0.144522385302,0.914895289513,-0.201004664611,1.71044647856,0.144524971135,0.550856121229,0.000275428060615,development,2020-08-03,2024-12-31,0.950428732044,rank_5,504,5,0.3,5,covariance
Sample GMV,1111,0.0779600745991,0.127873920748,0.65111904617,-0.1781674756,1.39231146701,0.127878630661,0.891435675393,0.000445717837697,development,2020-08-03,2024-12-31,0.850482867991,rank_5,504,5,0.3,5,covariance
Ledoit-Wolf GMV,1111,0.0795638707647,0.127548909899,0.664111500355,-0.176340530755,1.4014672945,0.127553240948,0.846379790553,0.000423189895276,development,2020-08-03,2024-12-31,0.851606182958,rank_5,504,5,0.3,5,covariance
PCA GMV,1111,0.0807560780863,0.128732601812,0.667765363186,-0.182062054795,1.40830353469,0.128736898319,1.02158406738,0.00051079203369,development,2020-08-03,2024-12-31,0.858008215667,rank_5,504,5,0.3,5,covariance
SPY buy & hold,1111,0.157006193339,0.165284083068,0.965274912526,-0.244963938609,1.90208507936,,,,development,2020-08-03,2024-12-31,1,rank_5,504,5,0.3,5,covariance
Equal weight,416,0.160192415846,0.13453170074,1.17174698058,-0.150040682341,1.27798498364,0.134529613362,0.347359477841,0.000173679738921,historical_test,2025-01-02,2026-08-31,0.891888024177,rank_5,504,5,0.3,5,covariance
Inverse volatility,416,0.147658555947,0.130597816563,1.11987987281,-0.141488004615,1.25527368147,0.130595399122,0.353791602993,0.000176895801497,historical_test,2025-01-02,2026-08-31,0.853837117076,rank_5,504,5,0.3,5,covariance
Sample GMV,416,0.106152453202,0.120391024365,0.898279791791,-0.113793542276,1.18121649251,0.120381773805,0.804562000969,0.000402281000485,historical_test,2025-01-02,2026-08-31,0.629122101754,rank_5,504,5,0.3,5,covariance
Ledoit-Wolf GMV,416,0.109543905174,0.119914048478,0.926914941953,-0.113731417443,1.18720096515,0.119905393788,0.862359357386,0.000431179678693,historical_test,2025-01-02,2026-08-31,0.634859375384,rank_5,504,5,0.3,5,covariance
PCA GMV,416,0.105534584295,0.121940809974,0.88379699773,-0.119732191212,1.1801275005,0.12193235039,1.20950687788,0.000604753438942,historical_test,2025-01-02,2026-08-31,0.650197768435,rank_5,504,5,0.3,5,covariance
SPY buy & hold,416,0.189214251123,0.173152496415,1.08678108891,-0.187552262606,1.33118649644,,,,historical_test,2025-01-02,2026-08-31,1,rank_5,504,5,0.3,5,covariance
Equal weight,1527,0.148159321545,0.1455620744,1.02216137256,-0.192631314576,2.3098538042,0.145563508959,0.501073533027,0.000250536766513,all_oos,2020-08-03,2026-08-31,0.934265824655,lookback_126,126,3,0.3,5,covariance
Inverse volatility,1527,0.132984212313,0.139794565865,0.963233609838,-0.192681631521,2.13093773348,0.139795354858,0.635861842129,0.000317930921065,all_oos,2020-08-03,2026-08-31,0.922512453311,lookback_126,126,3,0.3,5,covariance
Sample GMV,1527,0.0985670138874,0.122686304659,0.827765601931,-0.1412207888,1.76762233013,0.12268733778,2.27151592136,0.00113575796068,all_oos,2020-08-03,2026-08-31,0.80121947396,lookback_126,126,3,0.3,5,covariance
Ledoit-Wolf GMV,1527,0.100916954761,0.122746855676,0.844831377115,-0.142013344316,1.79065842936,0.122748962265,2.26811635734,0.00113405817867,all_oos,2020-08-03,2026-08-31,0.805423277743,lookback_126,126,3,0.3,5,covariance
PCA GMV,1527,0.100159855477,0.123600252986,0.834293331221,-0.139458464057,1.78320949716,0.123604799292,2.42405154102,0.00121202577051,all_oos,2020-08-03,2026-08-31,0.799925089409,lookback_126,126,3,0.3,5,covariance
SPY buy & hold,1527,0.165693162362,0.16740899134,0.999620169066,-0.244963938609,2.53202997273,,,,all_oos,2020-08-03,2026-08-31,1,lookback_126,126,3,0.3,5,covariance
Equal weight,1111,0.143685864553,0.14954044244,0.972810173702,-0.192631314576,1.80741857985,0.149543073559,0.558629830918,0.000279314915459,development,2020-08-03,2024-12-31,0.952025455339,lookback_126,126,3,0.3,5,covariance
Inverse volatility,1111,0.128805010666,0.143046726801,0.918731960554,-0.192681631521,1.7060142609,0.143048976739,0.672472546517,0.000336236273258,development,2020-08-03,2024-12-31,0.948356272355,lookback_126,126,3,0.3,5,covariance
Sample GMV,1111,0.0933852135936,0.125097605745,0.77638235411,-0.1412207888,1.48231519445,0.125105655907,2.26627001008,0.00113313500504,development,2020-08-03,2024-12-31,0.840244169093,lookback_126,126,3,0.3,5,covariance
Ledoit-Wolf GMV,1111,0.0953690355588,0.125174771768,0.790469651864,-0.142013344316,1.494209154,0.125183905007,2.27822466933,0.00113911233466,development,2020-08-03,2024-12-31,0.843408493167,lookback_126,126,3,0.3,5,covariance
PCA GMV,1111,0.0915830396104,0.125300867044,0.762159749511,-0.139458464057,1.47157387904,0.125314767265,2.30057956454,0.00115028978227,development,2020-08-03,2024-12-31,0.838722253545,lookback_126,126,3,0.3,5,covariance
SPY buy & hold,1111,0.157006193339,0.165284083068,0.965274912526,-0.244963938609,1.90208507936,,,,development,2020-08-03,2024-12-31,1,lookback_126,126,3,0.3,5,covariance
Equal weight,416,0.160192415846,0.13453170074,1.17174698058,-0.150040682341,1.27798498364,0.134529613362,0.347359477841,0.000173679738921,historical_test,2025-01-02,2026-08-31,0.891888024177,lookback_126,126,3,0.3,5,covariance
Inverse volatility,416,0.144221491121,0.13087740072,1.09483921044,-0.141688918061,1.24907381041,0.130873939844,0.538086619594,0.000269043309797,historical_test,2025-01-02,2026-08-31,0.856631712728,lookback_126,126,3,0.3,5,covariance
Sample GMV,416,0.112526598117,0.116143660044,0.976305867494,-0.112118624393,1.19247400064,0.116124476267,2.28552603538,0.00114276301769,historical_test,2025-01-02,2026-08-31,0.69817778307,lookback_126,126,3,0.3,5,covariance
Ledoit-Wolf GMV,416,0.115871754461,0.116156040447,1.00206186068,-0.113308365982,1.19839878143,0.116137907864,2.24112036064,0.00112056018032,historical_test,2025-01-02,2026-08-31,0.705245013618,lookback_126,126,3,0.3,5,covariance
PCA GMV,416,0.123397491633,0.119077333938,1.03687490214,-0.118049694627,1.21177028389,0.119055408362,2.75380482435,0.00137690241218,historical_test,2025-01-02,2026-08-31,0.698442835707,lookback_126,126,3,0.3,5,covariance
SPY buy & hold,416,0.189214251123,0.173152496415,1.08678108891,-0.187552262606,1.33118649644,,,,historical_test,2025-01-02,2026-08-31,1,lookback_126,126,3,0.3,5,covariance
Equal weight,1527,0.148159321545,0.1455620744,1.02216137256,-0.192631314576,2.3098538042,0.145563508959,0.501073533027,0.000250536766513,all_oos,2020-08-03,2026-08-31,0.934265824655,lookback_252,252,3,0.3,5,covariance
Inverse volatility,1527,0.135076957585,0.140067542588,0.974813958719,-0.195689010312,2.15490019586,0.14006854783,0.525669015581,0.00026283450779,all_oos,2020-08-03,2026-08-31,0.922803885368,lookback_252,252,3,0.3,5,covariance
Sample GMV,1527,0.105572861387,0.123650103021,0.873706903381,-0.144131379587,1.83704038241,0.123649204144,1.41649072802,0.000708245364012,all_oos,2020-08-03,2026-08-31,0.79332167459,lookback_252,252,3,0.3,5,covariance
Ledoit-Wolf GMV,1527,0.107482762906,0.123447719131,0.888924995161,-0.144541294373,1.85635468604,0.123447116973,1.40633284312,0.000703166421561,all_oos,2020-08-03,2026-08-31,0.796856083766,lookback_252,252,3,0.3,5,covariance
PCA GMV,1527,0.105405493035,0.123783551945,0.871683321169,-0.145351591331,1.83535585978,0.123781489176,1.36073934218,0.00068036967109,all_oos,2020-08-03,2026-08-31,0.799657035136,lookback_252,252,3,0.3,5,covariance
SPY buy & hold,1527,0.165693162362,0.16740899134,0.999620169066,-0.244963938609,2.53202997273,,,,all_oos,2020-08-03,2026-08-31,1,lookback_252,252,3,0.3,5,covariance
Equal weight,1111,0.143685864553,0.14954044244,0.972810173702,-0.192631314576,1.80741857985,0.149543073559,0.558629830918,0.000279314915459,development,2020-08-03,2024-12-31,0.952025455339,lookback_252,252,3,0.3,5,covariance
Inverse volatility,1111,0.130607457116,0.143680695771,0.926421540709,-0.195689010312,1.71805689388,0.143682969058,0.569567801389,0.000284783900695,development,2020-08-03,2024-12-31,0.949579066441,lookback_252,252,3,0.3,5,covariance
Sample GMV,1111,0.104972343505,0.126216286215,0.854159889145,-0.144131379587,1.55283267331,0.126219788755,1.47504026498,0.000737520132488,development,2020-08-03,2024-12-31,0.841861669363,lookback_252,252,3,0.3,5,covariance
Ledoit-Wolf GMV,1111,0.104749919643,0.126134352321,0.853038200585,-0.144541294373,1.55145508595,0.12613867138,1.44506632477,0.000722533162386,development,2020-08-03,2024-12-31,0.845144173994,lookback_252,252,3,0.3,5,covariance
PCA GMV,1111,0.10453812574,0.126323919154,0.85043306985,-0.145351591331,1.55014421393,0.126326118223,1.37334901364,0.000686674506822,development,2020-08-03,2024-12-31,0.842453192925,lookback_252,252,3,0.3,5,covariance
SPY buy & hold,1111,0.157006193339,0.165284083068,0.965274912526,-0.244963938609,1.90208507936,,,,development,2020-08-03,2024-12-31,1,lookback_252,252,3,0.3,5,covariance
Equal weight,416,0.160192415846,0.13453170074,1.17174698058,-0.150040682341,1.27798498364,0.134529613362,0.347359477841,0.000173679738921,historical_test,2025-01-02,2026-08-31,0.891888024177,lookback_252,252,3,0.3,5,covariance
Inverse volatility,416,0.147100327861,0.130090590055,1.12000890236,-0.140588331286,1.25426591141,0.130087877009,0.408429710212,0.000204214855106,historical_test,2025-01-02,2026-08-31,0.854559722972,lookback_252,252,3,0.3,5,covariance
Sample GMV,416,0.107178248503,0.11666688949,0.931155442878,-0.10843911134,1.18302532783,0.116653252507,1.26012405602,0.00063006202801,historical_test,2025-01-02,2026-08-31,0.66384479915,lookback_252,252,3,0.3,5,covariance
Ledoit-Wolf GMV,416,0.114814475638,0.116113745612,0.9942541725,-0.108953236822,1.19652492866,0.11609885555,1.3028883765,0.000651444188249,historical_test,2025-01-02,2026-08-31,0.667834093788,lookback_252,252,3,0.3,5,covariance
PCA GMV,416,0.107725287557,0.116875450678,0.933945708293,-0.112805118312,1.18399039476,0.11686106017,1.32706303209,0.000663531516046,historical_test,2025-01-02,2026-08-31,0.686119382509,lookback_252,252,3,0.3,5,covariance
SPY buy & hold,416,0.189214251123,0.173152496415,1.08678108891,-0.187552262606,1.33118649644,,,,historical_test,2025-01-02,2026-08-31,1,lookback_252,252,3,0.3,5,covariance
Equal weight,1527,0.148159321545,0.1455620744,1.02216137256,-0.192631314576,2.3098538042,0.145563508959,0.501073533027,0.000250536766513,all_oos,2020-08-03,2026-08-31,0.934265824655,correlation_pca,504,3,0.3,5,correlation
Inverse volatility,1527,0.134395996118,0.140823844985,0.96606731495,-0.201004664611,2.14707844809,0.140825157867,0.497169913249,0.000248584956624,all_oos,2020-08-03,2026-08-31,0.923228739182,correlation_pca,504,3,0.3,5,correlation
Sample GMV,1527,0.0855685207931,0.125842336563,0.715500033563,-0.1781674756,1.64462126755,0.125843404219,0.867768714974,0.000433884357487,all_oos,2020-08-03,2026-08-31,0.789964726881,correlation_pca,504,3,0.3,5,correlation
Ledoit-Wolf GMV,1527,0.0876501029518,0.125478288759,0.73248265209,-0.176340530755,1.66382332466,0.125479243019,0.850733097562,0.000425366548781,all_oos,2020-08-03,2026-08-31,0.792365866901,correlation_pca,504,3,0.3,5,correlation
PCA GMV,1527,0.0856514661372,0.125748432811,0.716555145978,-0.17644477707,1.64538286085,0.125749177865,0.844022301908,0.000422011150954,all_oos,2020-08-03,2026-08-31,0.798279727305,correlation_pca,504,3,0.3,5,correlation
SPY buy & hold,1527,0.165693162362,0.16740899134,0.999620169066,-0.244963938609,2.53202997273,,,,all_oos,2020-08-03,2026-08-31,1,correlation_pca,504,3,0.3,5,correlation
Equal weight,1111,0.143685864553,0.14954044244,0.972810173702,-0.192631314576,1.80741857985,0.149543073559,0.558629830918,0.000279314915459,development,2020-08-03,2024-12-31,0.952025455339,correlation_pca,504,3,0.3,5,correlation
Inverse volatility,1111,0.129469530727,0.144522385302,0.914895289513,-0.201004664611,1.71044647856,0.144524971135,0.550856121229,0.000275428060615,development,2020-08-03,2024-12-31,0.950428732044,correlation_pca,504,3,0.3,5,correlation
Sample GMV,1111,0.0779600745991,0.127873920748,0.65111904617,-0.1781674756,1.39231146701,0.127878630661,0.891435675393,0.000445717837697,development,2020-08-03,2024-12-31,0.850482867991,correlation_pca,504,3,0.3,5,correlation
Ledoit-Wolf GMV,1111,0.0795638707647,0.127548909899,0.664111500355,-0.176340530755,1.4014672945,0.127553240948,0.846379790553,0.000423189895276,development,2020-08-03,2024-12-31,0.851606182958,correlation_pca,504,3,0.3,5,correlation
PCA GMV,1111,0.0776757055057,0.12737631803,0.651092571016,-0.17644477707,1.39069288628,0.127380436613,0.857728159621,0.00042886407981,development,2020-08-03,2024-12-31,0.856190264311,correlation_pca,504,3,0.3,5,correlation
SPY buy & hold,1111,0.157006193339,0.165284083068,0.965274912526,-0.244963938609,1.90208507936,,,,development,2020-08-03,2024-12-31,1,correlation_pca,504,3,0.3,5,correlation
Equal weight,416,0.160192415846,0.13453170074,1.17174698058,-0.150040682341,1.27798498364,0.134529613362,0.347359477841,0.000173679738921,historical_test,2025-01-02,2026-08-31,0.891888024177,correlation_pca,504,3,0.3,5,correlation
Inverse volatility,416,0.147658555947,0.130597816563,1.11987987281,-0.141488004615,1.25527368147,0.130595399122,0.353791602993,0.000176895801497,historical_test,2025-01-02,2026-08-31,0.853837117076,correlation_pca,504,3,0.3,5,correlation
Sample GMV,416,0.106152453202,0.120391024365,0.898279791791,-0.113793542276,1.18121649251,0.120381773805,0.804562000969,0.000402281000485,historical_test,2025-01-02,2026-08-31,0.629122101754,correlation_pca,504,3,0.3,5,correlation
Ledoit-Wolf GMV,416,0.109543905174,0.119914048478,0.926914941953,-0.113731417443,1.18720096515,0.119905393788,0.862359357386,0.000431179678693,historical_test,2025-01-02,2026-08-31,0.634859375384,correlation_pca,504,3,0.3,5,correlation
PCA GMV,416,0.107242638673,0.121435720673,0.899731305942,-0.119016640468,1.18313890658,0.121427019013,0.807418436717,0.000403709218359,historical_test,2025-01-02,2026-08-31,0.645756276209,correlation_pca,504,3,0.3,5,correlation
SPY buy & hold,416,0.189214251123,0.173152496415,1.08678108891,-0.187552262606,1.33118649644,,,,historical_test,2025-01-02,2026-08-31,1,correlation_pca,504,3,0.3,5,correlation
Equal weight,1527,0.148447038923,0.145563508959,1.02387497375,-0.192542047593,2.31336344159,0.145563508959,0.501165813057,0,all_oos,2020-08-03,2026-08-31,0.934266921107,cost_0bps,504,3,0.3,0,covariance
Inverse volatility,1527,0.134678049838,0.140825157867,0.967825861575,-0.200886444211,2.15031532907,0.140825157867,0.497262076026,0,all_oos,2020-08-03,2026-08-31,0.923230305958,cost_0bps,504,3,0.3,0,covariance
Sample GMV,1527,0.0860396669879,0.125843404219,0.718944149184,-0.177800632948,1.64895118575,0.125843404219,0.867869092738,0,all_oos,2020-08-03,2026-08-31,0.789981272751,cost_0bps,504,3,0.3,0,covariance
Ledoit-Wolf GMV,1527,0.0881128834885,0.125479243019,0.735869291465,-0.176060913682,1.66811769078,0.125479243019,0.850831227545,0,all_oos,2020-08-03,2026-08-31,0.792381528927,cost_0bps,504,3,0.3,0,covariance
PCA GMV,1527,0.0870655646674,0.124937127674,0.730807811372,-0.172447218644,1.658412306,0.124937127674,0.801198203119,0,all_oos,2020-08-03,2026-08-31,0.791218130057,cost_0bps,504,3,0.3,0,covariance
SPY buy & hold,1527,0.165789329152,0.167408540712,1.00011550792,-0.244963938609,2.53329598772,,,,all_oos,2020-08-03,2026-08-31,1,cost_0bps,504,3,0.3,0,covariance
Equal weight,1111,0.144005391635,0.149543073559,0.974664658696,-0.192542047593,1.80964588631,0.149543073559,0.55875112301,0,development,2020-08-03,2024-12-31,0.952024310531,cost_0bps,504,3,0.3,0,covariance
Inverse volatility,1111,0.129780694635,0.144524971135,0.916788371501,-0.200886444211,1.71252493833,0.144524971135,0.550980980432,0,development,2020-08-03,2024-12-31,0.950427479078,cost_0bps,504,3,0.3,0,covariance
Sample GMV,1111,0.0784406880671,0.127878630661,0.654586508296,-0.177800632948,1.39505034819,0.127878630661,0.891574215737,0,development,2020-08-03,2024-12-31,0.850476051711,cost_0bps,504,3,0.3,0,covariance
Ledoit-Wolf GMV,1111,0.0800208672416,0.127553240948,0.667412265184,-0.176060913682,1.40408471998,0.127553240948,0.846514631971,0,development,2020-08-03,2024-12-31,0.851598246144,cost_0bps,504,3,0.3,0,covariance
PCA GMV,1111,0.0786027503372,0.127081773331,0.659069934934,-0.172447218644,1.39597483408,0.127081773331,0.802573680967,0,development,2020-08-03,2024-12-31,0.845374498932,cost_0bps,504,3,0.3,0,covariance
SPY buy & hold,1111,0.157137385607,0.165283476799,0.965964272908,-0.244963938609,1.9030361219,,,,development,2020-08-03,2024-12-31,1,cost_0bps,504,3,0.3,0,covariance
Equal weight,416,0.160393936839,0.134529613362,1.1730548841,-0.150017534924,1.27835144936,0.134529613362,0.34737427614,0,historical_test,2025-01-02,2026-08-31,0.891897994261,cost_0bps,504,3,0.3,0,covariance
Inverse volatility,416,0.147861591507,0.130595399122,1.12125349158,-0.141461186975,1.25564030102,0.130595399122,0.353796444309,0,historical_test,2025-01-02,2026-08-31,0.853848307018,cost_0bps,504,3,0.3,0,covariance
Sample GMV,416,0.106597538948,0.120381773805,0.901682708192,-0.113751383993,1.18200120009,0.120381773805,0.804560458958,0,historical_test,2025-01-02,2026-08-31,0.629191504069,cost_0bps,504,3,0.3,0,covariance
Ledoit-Wolf GMV,416,0.110022433721,0.119905393788,0.930570774999,-0.113688575737,1.18804632444,0.119905393788,0.862359443129,0,historical_test,2025-01-02,2026-08-31,0.634929847845,cost_0bps,504,3,0.3,0,covariance
PCA GMV,416,0.109993864204,0.119159661598,0.935439169768,-0.115477420814,1.18799584743,0.119159661598,0.797524751462,0,historical_test,2025-01-02,2026-08-31,0.647295025692,cost_0bps,504,3,0.3,0,covariance
